EmployeeID,Age,Gender,MaritalStatus,City,Department,JobRole,Education,YearsAtCompany,YearsInCurrentRole,MonthlyIncome,BusinessTravel,DistanceFromHome_km,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,TrainingTimesLastYear,NumCompaniesWorked,HireDate,Attrition,PercentSalaryHike,StockOptionLevel,EnvironmentSatisfaction,RelationshipSatisfaction
EMP1001,39,Male,Divorced,Bangalore,Marketing,Marketing Manager,PhD,7,3,59742,Travel Rarely,8,1,3,4,Yes,1,4,2012-04-19,No,5,1,3,2
EMP1002,43,Female,Single,Chennai,Finance,Accountant,Master,3,2,60387,Travel Frequently,30,2,1,3,No,0,3,2012-03-03,No,7,0,3,4
EMP1003,28,Male,Divorced,Pune,Marketing,Content Writer,Bachelor,3,1,62721,Travel Rarely,20,3,3,3,No,0,6,2018-03-08,Yes,13,1,3,4
EMP1004,24,Female,Single,Mumbai,Engineering,DevOps Engineer,Bachelor,1,0,86779,Travel Frequently,29,4,2,4,No,3,8,2011-06-27,No,22,2,3,3
EMP1005,36,Female,Married,Chennai,Legal,Paralegal,PhD,2,2,88609,Travel Rarely,3,2,2,4,No,4,8,2012-01-15,No,5,0,3,3
EMP1006,29,Male,Divorced,Mumbai,Operations,Logistics Coordinator,Bachelor,4,1,68107,Travel Rarely,30,3,4,3,No,4,2,2020-03-05,Yes,22,0,3,3
EMP1007,41,Male,Divorced,Delhi,Marketing,SEO Analyst,Bachelor,7,4,50751,Travel Frequently,5,3,1,2,No,6,6,2022-09-22,No,11,1,3,3
EMP1008,55,Male,Single,Hyderabad,Sales,Sales Manager,High School,14,13,57369,Travel Rarely,21,3,3,1,Yes,5,1,2015-01-15,Yes,21,1,2,3
EMP1009,37,Male,Single,Delhi,Finance,Auditor,Master,15,3,104987,No Travel,22,3,3,3,No,0,3,2014-04-09,Yes,11,3,2,2
EMP1010,26,Male,Single,Delhi,Product,UX Designer,PhD,3,3,118484,No Travel,28,3,1,3,Yes,6,6,2022-05-06,Yes,6,1,3,4
EMP1011,40,Male,Divorced,Mumbai,Operations,Process Manager,High School,13,0,81722,Travel Frequently,18,2,2,3,Yes,5,7,2022-06-19,No,21,1,1,3
EMP1012,26,Female,Single,Pune,Finance,Financial Analyst,Master,1,0,79795,Travel Rarely,11,3,3,3,No,4,6,2022-10-11,No,9,2,3,4
EMP1013,51,Female,Single,Delhi,Marketing,Marketing Manager,Master,19,19,101915,Travel Frequently,12,2,4,2,No,1,8,2012-03-30,Yes,5,2,4,2
EMP1014,29,Female,Married,Kolkata,Finance,Finance Manager,High School,1,0,100926,Travel Frequently,17,3,2,3,No,2,6,2013-06-27,No,13,0,1,4
EMP1015,50,Male,Married,Bangalore,Operations,Supply Chain Analyst,High School,17,9,82194,Travel Rarely,12,4,4,2,No,6,0,2022-07-31,Yes,16,1,3,3
EMP1016,31,Male,Married,Bangalore,Sales,Sales Manager,High School,3,3,100201,No Travel,22,3,2,1,No,6,7,2013-12-21,No,12,1,4,3
EMP1017,36,Female,Single,Hyderabad,Operations,Supply Chain Analyst,Master,0,0,79821,Travel Frequently,22,4,2,4,No,3,4,2018-12-09,No,6,0,3,2
EMP1018,54,Male,Married,Delhi,Sales,Sales Manager,High School,3,2,72587,Travel Frequently,24,3,3,1,No,5,5,2022-12-07,No,8,2,3,3
EMP1019,40,Male,Married,Mumbai,Sales,Sales Manager,Bachelor,17,13,57731,Travel Frequently,18,3,2,3,No,3,5,2019-06-07,No,19,3,3,2
EMP1020,27,Male,Single,Bangalore,Product,UX Designer,PhD,2,2,97887,No Travel,5,4,3,4,Yes,1,7,2023-11-21,No,18,1,3,3
EMP1021,31,Male,Married,Bangalore,Legal,Compliance Officer,PhD,0,0,113130,Travel Rarely,8,4,3,2,No,4,8,2012-05-23,No,18,3,4,3
EMP1022,38,Female,Married,Mumbai,Product,Scrum Master,High School,7,2,120726,No Travel,8,3,2,3,Yes,2,3,2016-03-21,No,17,1,3,1
EMP1023,56,Female,Married,Hyderabad,Legal,Paralegal,Master,14,4,82609,Travel Rarely,19,4,4,3,Yes,6,6,2014-08-22,No,22,1,3,2
EMP1024,46,Male,Single,Pune,Product,Product Manager,PhD,10,2,108688,Travel Rarely,19,4,4,4,No,3,2,2019-01-26,No,6,2,3,2
EMP1025,46,Male,Divorced,Hyderabad,Sales,Business Development,High School,8,3,93715,No Travel,8,1,3,2,No,2,0,2019-06-16,No,24,1,2,3
EMP1026,51,Male,Married,Chennai,Marketing,Content Writer,PhD,22,12,61539,Travel Frequently,4,3,2,3,No,2,3,2018-04-10,Yes,7,1,2,4
EMP1027,44,Female,Divorced,Bangalore,Marketing,Marketing Manager,PhD,17,5,70903,Travel Frequently,12,1,3,3,No,3,8,2018-04-24,Yes,25,2,3,4
EMP1028,49,Female,Married,Hyderabad,Product,Scrum Master,PhD,26,10,113064,No Travel,15,4,2,2,No,6,7,2016-01-08,No,11,2,4,2
EMP1029,55,Male,Single,Mumbai,Operations,Operations Manager,Bachelor,30,12,55434,Travel Frequently,15,4,3,3,No,3,3,2015-06-01,No,14,2,3,3
EMP1030,44,Male,Single,Bangalore,Legal,Paralegal,PhD,22,8,85039,Travel Frequently,23,2,2,2,No,6,8,2016-11-16,No,24,2,4,4
